Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Cookie Dough Blizzard Mini,202,420,16,9,0.4,35,230,64,0.5,49,8
Cookie Dough Blizzard (Small),319,720,27,15,0.5,60,410,107,1,80,12
Cookie Dough Blizzard (Medium),450,1040,40,23,1,80,600,155,2,116,17
Cookie Dough Blizzard (Large),567,1340,52,30,1,100,780,200,3,149,21
CrispyCrunch Blizzard Mini,195,360,12,7,0.4,35,170,55,0,47,8
CrispyCrunch Blizzard (Small),262,500,17,9,0.5,45,230,76,0,64,11
CrispyCrunch Blizzard (Medium),383,810,29,15,0.5,60,380,121,1,101,16
CrispyCrunch Blizzard (Large),507,1070,39,20,1,85,500,160,1,134,21
Double Fudge Cookie Dough Blizzard Mini,204,450,18,9,0.4,35,250,66,1,50,8
Double Fudge Cookie Dough Blizzard (Small),322,760,31,15,0.5,60,430,110,2,82,13
Double Fudge Cookie Dough Blizzard (Medium),425,1020,41,20,1,80,580,148,3,108,16
Double Fudge Cookie Dough Blizzard (Large),511,1190,46,24,1,100,700,177,2,128,20
French Silk Pie Blizzard Mini,211,450,20,12,0.5,35,210,61,1,49,8
French Silk Pie Blizzard (Small),315,700,31,18,0.5,55,340,96,2,75,12
French Silk Pie Blizzard (Medium),368,850,38,22,1,65,420,116,3,89,14
French Silk Pie Blizzard (Large),514,1190,53,30,1,90,590,163,4,125,20
Georgia Mud Fudge Blizzard Mini,201,420,19,8,0.4,40,240,56,2,45,9
Georgia Mud Fudge Blizzard (Small),287,660,33,12,0.5,60,400,83,3,65,13
Georgia Mud Fudge Blizzard (Medium),365,860,44,15,0.5,80,540,106,4,82,16
Georgia Mud Fudge Blizzard (Large),500,1190,62,21,1,105,740,148,6,114,22
Hawaiian Blizzard Mini,198,300,9,6,0.4,30,130,49,1,41,7
Hawaiian Blizzard (Small),284,440,14,10,0.5,40,190,70,2,60,9
Hawaiian Blizzard (Medium),393,600,19,13,0.5,55,240,98,3,83,12
Hawaiian Blizzard (Large),549,830,25,17,1,70,330,137,4,115,16
Kit Kat Blizzard Mini,194,360,12,7,0.4,35,140,56,0,48,8
Kit Kat Blizzard (Small),330,630,21,13,0.5,55,250,98,0.5,83,13
Kit Kat Blizzard (Medium),443,860,30,18,1,75,330,131,1,111,18
Kit Kat Blizzard (Large),574,1130,38,23,1,95,430,176,1,149,23
Mint Oreo Blizzard Mini,204,410,14,8,0.4,30,220,64,0.5,50,8
Mint Oreo Blizzard (Small),317,670,23,14,0.5,45,380,105,1,81,12
Mint Oreo Blizzard (Medium),386,860,30,18,1,55,500,137,2,103,14
Mint Oreo Blizzard (Large),573,1240,43,25,1,80,710,196,3,150,21
Oreo Cookies Blizzard Mini,195,380,13,6,0.4,30,290,59,0.5,46,8
Oreo Cookies Blizzard (Small),298,620,22,10,0.5,45,510,95,1,72,12
Oreo Cookies Blizzard (Medium),358,800,29,12,0.5,55,700,121,2,89,14
Oreo Cookies Blizzard (Large),535,1160,42,17,1,80,980,176,2,131,21
Oreo CheeseQuake Blizzard Mini,198,380,14,7,0.4,45,260,56,0,44,8
Oreo CheeseQuake Blizzard (Small),269,570,22,11,0.5,65,420,81,0.5,62,11
Oreo CheeseQuake Blizzard (Medium),354,780,31,15,0.5,90,600,110,1,83,15
