Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"Tropicana Lemonade (20 fl oz, Drive Thru)",,,591.0,160,0.0,0.0,0.0,0,160,42,0.0,41,0
"Tropicana Lemonade (30 fl oz, Drive Thru)",,,887.0,240,0.0,0.0,0.0,0,240,62,0.0,62,0
"Tropicana Light Lemonade (20 fl oz, Drive Thru)",,,591.0,5,0.0,0.0,0.0,0,150,0,0.0,0,0
"Tropicana Light Lemonade (30 fl oz, Drive Thru)",,,887.0,10,0.0,0.0,0.0,0,220,0,0.0,0,0
"Unsweetened Iced Tea (20 fl oz, Drive Thru)",,,591.0,10,0.0,0.0,0.0,0,10,0,0.0,0,2
"Unsweetened Iced Tea (30 fl oz, Drive Thru)",,,887.0,10,0.0,0.0,0.0,0,15,0,0.0,0,2
"Wild Cherry Pepsi (20 fl oz, Drive Thru)",,,591.0,160,0.0,0.0,0.0,0,35,44,0.0,44,0
"Wild Cherry Pepsi (30 fl oz, Drive Thru)",,,887.0,240,0.0,0.0,0.0,0,50,66,0.0,66,0
"Lime Bubly Sparkling Water (20 fl oz, Drive Thru)",,,591.0,0,0.0,0.0,0.0,0,65,0,0.0,0,0
"Lime Bubly Sparkling Water (30 fl oz, Drive Thru)",,,887.0,5,0.0,0.0,0.0,0,95,0,0.0,0,0
Earl Greyer Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,20,0,0.0,0,0
Espresso,,,59.0,10,0.0,0.0,0.0,0,0,2,0.0,0,1
Fanta Orange (20 fl oz),,,591.0,250,0.0,0.0,0.0,0,65,66,0.0,66,0
Fanta Orange (30 fl oz),,,887.0,370,0.0,0.0,0.0,0,100,99,0.0,99,0
Frozen Caramel Cold Brew (16 fl oz),,,473.0,490,17.0,10.0,0.5,50,230,80,0.0,58,5
Frozen Chocolate Cold Brew (16 fl oz),,,473.0,450,13.0,8.0,0.0,45,130,79,2.0,59,6
Frozen Strawberry Lemonade with Fresh Strawberries (16 fl oz),,,473.0,140,0.0,0.0,0.0,0,10,35,1.0,31,1
"Fuji Apple Cranberry Flavored Charged Lemonade (20 fl oz)",,,591.0,290,0.0,0.0,0.0,0,10,70,0.0,65,0
"Fuji Apple Cranberry Flavored Charged Lemonade (30 fl oz)",,,887.0,430,0.5,0.0,0.0,0,20,106,0.0,98,1
"Fuji Apple Cranberry Flavored Charged Lemonade (Group, Serves 5)",1 container,,,910,1.0,0.0,0.0,0,35,223,0.0,207,1
Ginger Peach Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,20,0,0.0,0,0
Gold Peak Unsweetened Iced Tea (18.5 fl oz),,,547.0,0,0.0,0.0,0.0,0,55,0,0.0,0,0
Hazelnut Coffee (Group),1 container,,,140,0.0,0.0,0.0,0,60,24,0.0,0,10
Hazelnut Flavored Coffee (12 fl oz),,,355.0,15,0.0,0.0,0.0,0,5,2,0.0,0,1
Hazelnut Flavored Coffee (16 fl oz),,,473.0,20,0.0,0.0,0.0,0,10,3,0.0,0,1
Hazelnut Flavored Coffee (20 fl oz),,,591.0,25,0.0,0.0,0.0,0,10,4,0.0,0,2
Honest Berry Hibiscus Iced Tea (16.9 fl oz Bottle),16.9 fl oz bottle,,,100,0.0,0.0,0.0,0,5,26,0.0,25,0
Honey Ginseng Green Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Iced Cafe Blend Dark Roast Coffee (20 fl oz),,,591.0,10,0.0,0.0,0.0,0,15,2,0.0,0,1
"Iced Cafe Blend Dark Roast Coffee (20 fl oz, No Ice)",,,591.0,15,0.0,0.0,0.0,0,15,3,0.0,0,1
Iced Cafe Blend Dark Roast Coffee (30 fl oz),,,887.0,15,0.0,0.0,0.0,0,20,3,0.0,0,1
"Iced Cafe Blend Dark Roast Coffee (30 fl oz, No Ice)",,,887.0,25,0.0,0.0,0.0,0,20,5,0.0,0,2
Iced Cafe Blend Dark Roast Coffee (16 fl oz),,,473.0,10,0.0,0.0,0.0,0,10,2,0.0,0,1
Iced Caffe Latte (20 fl oz),,,591.0,160,6.0,4.0,0.0,25,130,16,0.0,14,11
Iced Caramel Latte (20 fl oz),,,591.0,440,15.0,9.0,0.0,50,320,63,0.0,45,13
Iced Chai Tea Latte (20 fl oz),,,591.0,290,6.0,4.0,0.0,25,130,49,0.0,48,10
Iced Chocolate Latte (20 fl oz),,,591.0,400,11.0,7.0,0.0,40,220,62,2.0,46,14
Iced Madagascar Vanilla Latte (20 fl oz),,,591.0,290,10.0,7.0,0.0,40,140,36,0.0,34,12
